z,n.n+n.z,symbol,"energy [keV]",halflife,spin,"electric quadrupole [b]",method,description,nsr,journal,indc
3,6,Li,0,stable,1+,-0.000806(6),MB,"Molecular Beam Magnetic Resonance",2005Bo45,"PR C72 044309 (2005)",indc-nds-0833
3,7,Li,0,stable,3/2-,-0.0400(3),MB,"Molecular Beam Magnetic Resonance",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
3,8,Li,0,"840 ms",2+,+0.0314(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2005Bo45,"PR C72 044309 (2005)",indc-nds-0833
3,9,Li,0,"178 ms",3/2-,-0.0304(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2011Av08,"J Phys G 38 075102 (2011)",indc-nds-0833
3,11,Li,0,"8.75 ms",3/2-,(-)0.0333(5),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2008Ne11,"PRL 101 132502 (2008)",indc-nds-0833
4,9,Be,0,stable,3/2-,+0.0529(4),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1991Su05,"CPL 177 91 (1991)",indc-nds-0833
4,10,Be,3368,"0.125 ps",2+,-0.08(7),CER,"Coulomb excitation reorientation",2012Or05,"PR C86 041303 (2012)",indc-nds-0833
5,8,B,0,0.77s,2+,+0.0643(14),b-NQR,"Nuclear Quadrupole Resonance with beta detection",2006Su13,"PR C74 024327 (2006)",indc-nds-0833
5,10,B,0,stable,3+,+0.0846(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
5,11,B,0,stable,3/2-,+0.04059(10),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
5,12,B,0,"20.2 ms",1+,0.0132(3),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1992Mi18,"PRL 69 2058 (1992)",indc-nds-0833
5,13,B,0,"17.3 ms",3/2-,(+)0.0365(8),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2004Na38,"NP A746 509c (2004)",indc-nds-0833
5,14,B,0,"12.5 ms",2-,0.0297(8),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996Iz01,"PL B366 51 (1996)",indc-nds-0833
5,15,B,0,"9.9 ms",3/2-,0.0379(11),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996Iz01,"PL B366 51 (1996)",indc-nds-0833
5,17,B,0,"5.1 ms",(3/2-),0.0385(15),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2003Og03,"PR C67 064308 (2003)",indc-nds-0833
6,11,C,0,"20.4 m",3/2-,0.0333(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
6,12,C,4438,"45 fs",2+,+0.06(3),CER,"Coulomb excitation reorientation",1983Ve01,"PL B122 23 (1983)",indc-nds-0833
7,12,N,0,"11.0 ms",1+,+0.0100(9),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1998Mi10,"PL B420 31 (1998)",indc-nds-0833
7,16,N,0,"7.13 s",2-,(-)0.018(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2001Ma42,"PRL 86 3735 (2001)",indc-nds-0833
