name,symbol,isot_symbol,atomic_number,mass_number,abundance,mass [u],mass_uncertainty [u],spin,parity,is_radioactive,half_life [s],half_life_uncertainty [s],gfactor,gfactor_uncertainty,quadrupole_moment [b],quadrupole_moment_uncertainty [b]
neutron,n,¹n,0,1,0.0,1.00866491588,4.9e-10,0.5,1,true,609.8,0.6,-3.8260854,1.0e-6,0.0,0.0
Hydrogen,H,¹H,1,1,99.9855,1.007825031898,1.4e-11,0.5,1,false,Inf,,5.585694702,1.8e-8,0.0,0.0
Hydrogen,H,²H,1,2,0.0145,2.014101777844,1.5e-11,1.0,1,false,Inf,,0.857438231,5.0e-9,,
Hydrogen,H,³H,1,3,0.0,3.01604928132,8.0e-11,0.5,1,true,3.8878132832e8,631138.52,5.95792492,2.8e-8,0.0,0.0
Hydrogen,H,⁴H,1,4,0.0,4.026431867,0.000107354,2.0,-1,true,1.39e-22,1.0000000000000001e-23,,,,
Hydrogen,H,⁵H,1,5,0.0,5.035311492,9.602e-5,0.5,1,true,8.600000000000001e-23,6.000000000000001e-24,,,0.0,0.0
Hydrogen,H,⁶H,1,6,0.0,6.044955437,0.000272816,2.0,-1,true,2.9400000000000003e-22,6.700000000000001e-23,,,,
Hydrogen,H,⁷H,1,7,0.0,7.052749,0.001078,0.5,1,true,6.520000000000001e-22,5.5800000000000005e-22,,,0.0,0.0
Helium,He,³He,2,3,0.0002,3.01602932197,6.0e-11,0.5,1,false,Inf,,-4.25525062,6.0e-8,0.0,0.0
Helium,He,⁴He,2,4,99.9998,4.00260325413,1.6e-10,0.0,1,false,Inf,,0.0,0.0,0.0,0.0
Helium,He,⁵He,2,5,0.0,5.012057224,2.147e-5,1.5,-1,true,6.020000000000001e-22,2.2000000000000002e-23,,,,
Helium,He,⁶He,2,6,0.0,6.018885889,5.7e-8,0.0,1,true,0.80692,0.00024,0.0,0.0,0.0,0.0
Helium,He,⁷He,2,7,0.0,7.027990652,8.115e-6,1.5,-1,true,2.51e-21,7.000000000000001e-23,,,,
Helium,He,⁸He,2,8,0.0,8.033934388,9.5e-8,0.0,1,true,0.11950000000000001,0.0015,0.0,0.0,0.0,0.0
Helium,He,¹⁰He,2,10,0.0,10.052815306,9.9676e-5,0.0,1,true,2.6000000000000005e-22,4.0000000000000004e-23,0.0,0.0,0.0,0.0
Lithium,Li,³Li,3,3,0.0,3.030775,0.002147,1.5,-1,true,,,,,,
Lithium,Li,⁴Li,3,4,0.0,4.027185561,0.000227733,2.0,-1,true,9.100000000000001e-23,9.000000000000001e-24,,,,
Lithium,Li,⁵Li,3,5,0.0,5.0125378,5.3677e-5,1.5,-1,true,3.7000000000000005e-22,3.0000000000000006e-23,,,,
Lithium,Li,⁶Li,3,6,4.85,6.01512288742,1.55e-9,1.0,1,false,Inf,,0.822043,3.0e-6,-0.000806,6.0e-6
Lithium,Li,⁷Li,3,7,95.15,7.01600343426,4.5e-9,1.5,-1,false,Inf,,2.170938,8.0e-6,-0.04,0.0003
Lithium,Li,⁸Li,3,8,0.0,8.022486244,5.0e-8,2.0,1,true,0.8387000000000001,0.0003,0.82675,1.0e-5,0.0314,0.0002
Lithium,Li,⁹Li,3,9,0.0,9.026790191,2.0e-7,1.5,-1,true,0.1782,0.0004,2.2911066666666664,4.0e-5,-0.0304,0.0002
Lithium,Li,¹⁰Li,3,10,0.0,10.035483453,1.3656e-5,1.0,-1,true,2.0000000000000002e-21,5.0000000000000005e-22,,,,
Lithium,Li,¹¹Li,3,11,0.0,11.043723581,6.6e-7,1.5,-1,true,0.00875,6.0e-5,2.4474,0.00013333333333333334,-0.0333,0.0005
Lithium,Li,¹²Li,3,12,0.0,12.052613942,3.2213e-5,1.0,-1,true,,,,,,
Lithium,Li,¹³Li,3,13,0.0,13.061171503,7.515e-5,1.5,-1,true,3.3e-21,1.2000000000000002e-21,,,,
Beryllium,Be,⁵Be,4,5,0.0,5.03987,0.00215,0.5,1,true,,,,,0.0,0.0
Beryllium,Be,⁶Be,4,6,0.0,6.019726409,5.848e-6,0.0,1,true,5.0000000000000005e-21,3.0000000000000004e-22,0.0,0.0,0.0,0.0
Beryllium,Be,⁷Be,4,7,0.0,7.016928714,7.6e-8,1.5,-1,true,4.598208e6,5184.0,,,,
Beryllium,Be,⁸Be,4,8,0.0,8.005305102,3.7e-8,0.0,1,true,8.190000000000001e-17,3.7e-18,0.0,0.0,0.0,0.0
Beryllium,Be,⁹Be,4,9,100.0,9.012183062,8.2e-8,1.5,-1,false,Inf,,-0.7849533333333333,3.3333333333333337e-6,0.0529,0.0004
Beryllium,Be,¹⁰Be,4,10,0.0,10.013534692,8.6e-8,0.0,1,true,4.3769456362e13,3.78683112e11,0.0,0.0,0.0,0.0
Beryllium,Be,¹¹Be,4,11,0.0,11.02166108,2.55e-7,0.5,1,true,13.76,0.07,-3.3632,0.0016,0.0,0.0
Beryllium,Be,¹²Be,4,12,0.0,12.026922082,2.048e-6,0.0,1,true,0.02146,5.0e-5,0.0,0.0,0.0,0.0
Beryllium,Be,¹³Be,4,13,0.0,13.036134506,1.0929e-5,0.5,-1,true,1.0000000000000001e-21,7.0e-22,,,0.0,0.0
Beryllium,Be,¹⁴Be,4,14,0.0,14.04289292,0.00014197,0.0,1,true,0.00453,0.00027,0.0,0.0,0.0,0.0
Beryllium,Be,¹⁵Be,4,15,0.0,15.053490215,0.00017799,2.5,1,true,7.900000000000001e-22,2.7e-22,,,,
Beryllium,Be,¹⁶Be,4,16,0.0,16.061672036,0.00017799,0.0,1,true,6.5e-22,1.3000000000000002e-22,0.0,0.0,0.0,0.0
Boron,B,⁶B,5,6,0.0,6.0508,0.00215,2.0,-1,true,,,,,,
Boron,B,⁷B,5,7,0.0,7.029712,2.7e-5,1.5,-1,true,5.700000000000001e-22,1.4000000000000002e-23,,,,
Boron,B,⁸B,5,8,0.0,8.024607315,1.073e-6,2.0,1,true,0.7719,0.0009000000000000001,0.51775,0.00015,0.0643,0.0014
Boron,B,⁹B,5,9,0.0,9.013329645,9.69e-7,1.5,-1,true,8.000000000000001e-19,3.0000000000000004e-19,,,,
Boron,B,¹⁰B,5,10,19.65,10.012936862,1.6e-8,3.0,1,false,Inf,,0.6001545333333334,2.6666666666666667e-7,0.0846,0.0002
Boron,B,¹¹B,5,11,80.35,11.009305166,1.3e-8,1.5,-1,false,Inf,,1.7922520000000002,6.666666666666666e-7,0.04059,0.0001
Boron,B,¹²B,5,12,0.0,12.014352638,1.418e-6,1.0,1,true,0.0202,2.0e-5,1.003,0.001,0.0132,0.0003
Boron,B,¹³B,5,13,0.0,13.017779981,1.073e-6,1.5,-1,true,0.01716,0.00017999999999999998,2.118533333333333,0.0003333333333333333,0.0365,0.0008
Boron,B,¹⁴B,5,14,0.0,14.02540401,2.2773e-5,2.0,-1,true,0.01236,0.00029,0.5925,0.0025,0.0297,0.0008
Boron,B,¹⁵B,5,15,0.0,15.031087023,2.2575e-5,1.5,-1,true,0.01018,0.00035,1.7726666666666666,0.01,0.0379,0.0011
Boron,B,¹⁶B,5,16,0.0,16.039841045,2.6373e-5,0.0,-1,true,4.6e-21,,0.0,0.0,0.0,0.0
Boron,B,¹⁷B,5,17,0.0,17.046931399,0.000219114,1.5,-1,true,0.00508,5.0e-5,1.7,0.013333333333333334,0.0385,0.0015
Boron,B,¹⁸B,5,18,0.0,18.055601683,0.00021918,2.0,-1,true,,2.6e-8,,,,
Boron,B,¹⁹B,5,19,0.0,19.064166,0.000564,1.5,-1,true,0.00292,0.00013000000000000002,,,,
Boron,B,²⁰B,5,20,0.0,20.074505644,0.000586538,1.0,-1,true,9.124e-22,,,,,
Boron,B,²¹B,5,21,0.0,21.084147485,0.00059975,1.5,-1,true,7.6e-22,,,,,
