z,n.n+n.z,symbol,"energy [keV]",halflife,spin,"magnetic dipole [nm]",method,description,nsr,journal,indc
0,1,NN,0,"10.2 m",1/2+,-1.9130427(5),R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2014Ol01,"Chin. Phys. C38 090001 (2014)",indc-nds-0794
1,1,H,0,stable,1/2+,+2.792847351(9),R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2014Ol01,"Chin. Phys. C38 090001 (2014)",indc-nds-0794
1,2,H,0,stable,1+,+0.857438231(5),R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2014Ol01,"Chin. Phys. C38 090001 (2014)",indc-nds-0794
1,3,H,0,"12.33 y",1/2+,+2.978962460(14)),R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2014Ol01,"Chin. Phys. C38 090001 (2014)",indc-nds-0794
2,3,He,0,stable,1/2+,-2.12762531(3),R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2012Mo42,"RMP 84 1527 (2012)",indc-nds-0794
3,6,Li,0,stable,1+,+0.822043(3),NMR,"Nuclear Magnetic Resonance",2012Ja19,"PNMRS 67 49 (2012)",indc-nds-0794
3,7,Li,0,stable,3/2-,+3.256407(12),NMR,"Nuclear Magnetic Resonance",2012Ja19,"PNMRS 67 49 (2012)",indc-nds-0794
3,8,Li,0,"840 ms",2+,+1.65350(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1978Wi13/1962Co08,"PL A67 423 (78)/PR 126 1506 (62)",indc-nds-0794
3,9,Li,0,"178 ms",3/2-,3.43666(6),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2005Bo45,"PR C72 044309 (05)",indc-nds-0794
3,11,Li,0,"8.75 ms",3/2-,+3.6711(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2008Ne11,"PRL 101 132502 (08)",indc-nds-0794
4,9,Be,0,stable,3/2-,-1.177430(5),NMR,"Nuclear Magnetic Resonance",2013An23,"CPL 588 57 (2013)",indc-nds-0794
4,11,Be,0,"13.8 s",1/2+,-1.6816(8),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999Ge18,"PRL 83 3792 (99)",indc-nds-0794
5,8,B,0,"0.77 s",2+,1.0355(3),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1973Mi01,"JPJS 34 156 (73)",indc-nds-0794
5,10,B,718,"0.707 ns",1+,+0.63(12),IPAC,"Integral Perturbed Angular Correlation",1972Av01,"NP A182 359 (72)",indc-nds-0816
5,10,B,0,stable,3+,1.8004636(8),NMR,"Nuclear Magnetic Resonance",2009Ja11,"JCP 130 044309 (2009)",indc-nds-0794
5,11,B,0,stable,3/2-,2.688378(1),NMR,"Nuclear Magnetic Resonance",2009Ja11,"JCP 130 044309 (2009)",indc-nds-0794
5,12,B,0,"20.2 ms",1+,+1.003(1,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1990Mi16,"NP A516 365 (90)",indc-nds-0794
5,13,B,0,"17.3 ms",3/2-,+3.1778(5),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2004Na38,"NP A746 509c (04)",indc-nds-0794
5,14,B,0,"12.5 ms",2-,1.185(5),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1995Ok04," PL B354 41 (95)",indc-nds-0794
5,15,B,0,"9.9 ms",3/2-,2.659(15),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1995Ok04," PL B354 41 (95)",indc-nds-0794
5,17,B,0,"5.1 ms",(3/2-),2.55(2),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996Ue02,"PR C53 2142 (96)",indc-nds-0794
6,9,C,0,"126 ms",3/2-,1.3914(5),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1995Ma48,"NP A558 153c (1995)",indc-nds-0794
6,11,C,0,"20.4 m",3/2-,-0.964(1),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1970Wo11,"ZP 236 337 (70)",indc-nds-0794
6,13,C,0,stable,1/2-,+0.702369(4),NMR,"Nuclear Magnetic Resonance",2005An15,"CPL 411 111 (2005)",indc-nds-0794
6,13,C,3854,"8.5 ps",5/2+,1.40(4),RIV/D,"Recoil into Vacuum / Differential method",1981Ru04,"NP A359 442 (81)  ",indc-nds-0816
6,14,C,6728,"66 ps",3-,0.82(2),RIV/D,"Recoil into Vacuum / Differential method",1974Al07,"PR C9 1748 (74)",indc-nds-0816
6,15,C,0,"2.45 s",1/2+,1.720(9),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2002As06,"NP A704 88c (02)",indc-nds-0794
